opcode,name,bytes,cycles,Z,N,H,C
0x3d,DEC A,1,4,Z,1,H,-
0x3e,"LD A,d8",2,8,-,-,-,-
0x3f,CCF,1,4,-,0,0,C
0x40,"LD B,B",1,4,-,-,-,-
0x41,"LD B,C",1,4,-,-,-,-
0x42,"LD B,D",1,4,-,-,-,-
0x43,"LD B,E",1,4,-,-,-,-
0x44,"LD B,H",1,4,-,-,-,-
0x45,"LD B,L",1,4,-,-,-,-
0x46,"LD B,(HL)",1,8,-,-,-,-
0x47,"LD B,A",1,4,-,-,-,-
0x48,"LD C,B",1,4,-,-,-,-
0x49,"LD C,C",1,4,-,-,-,-
0x4a,"LD C,D",1,4,-,-,-,-
0x4b,"LD C,E",1,4,-,-,-,-
0x4c,"LD C,H",1,4,-,-,-,-
0x4d,"LD C,L",1,4,-,-,-,-
0x4e,"LD C,(HL)",1,8,-,-,-,-
0x4f,"LD C,A",1,4,-,-,-,-
0x50,"LD D,B",1,4,-,-,-,-
0x51,"LD D,C",1,4,-,-,-,-
0x52,"LD D,D",1,4,-,-,-,-
0x53,"LD D,E",1,4,-,-,-,-
0x54,"LD D,H",1,4,-,-,-,-
0x55,"LD D,L",1,4,-,-,-,-
0x56,"LD D,(HL)",1,8,-,-,-,-
0x57,"LD D,A",1,4,-,-,-,-
0x58,"LD E,B",1,4,-,-,-,-
0x59,"LD E,C",1,4,-,-,-,-
0x5a,"LD E,D",1,4,-,-,-,-
0x5b,"LD E,E",1,4,-,-,-,-
0x5c,"LD E,H",1,4,-,-,-,-
0x5d,"LD E,L",1,4,-,-,-,-
0x5e,"LD E,(HL)",1,8,-,-,-,-
0x5f,"LD E,A",1,4,-,-,-,-
0x60,"LD H,B",1,4,-,-,-,-
0x61,"LD H,C",1,4,-,-,-,-
0x62,"LD H,D",1,4,-,-,-,-
0x63,"LD H,E",1,4,-,-,-,-
0x64,"LD H,H",1,4,-,-,-,-
0x65,"LD H,L",1,4,-,-,-,-
0x66,"LD H,(HL)",1,8,-,-,-,-
0x67,"LD H,A",1,4,-,-,-,-
0x68,"LD L,B",1,4,-,-,-,-
0x69,"LD L,C",1,4,-,-,-,-
0x6a,"LD L,D",1,4,-,-,-,-
0x6b,"LD L,E",1,4,-,-,-,-
0x6c,"LD L,H",1,4,-,-,-,-
0x6d,"LD L,L",1,4,-,-,-,-
0x6e,"LD L,(HL)",1,8,-,-,-,-
0x6f,"LD L,A",1,4,-,-,-,-
0x70,"LD (HL),B",1,8,-,-,-,-
0x71,"LD (HL),C",1,8,-,-,-,-
0x72,"LD (HL),D",1,8,-,-,-,-
0x73,"LD (HL),E",1,8,-,-,-,-
0x74,"LD (HL),H",1,8,-,-,-,-
0x75,"LD (HL),L",1,8,-,-,-,-
0x76,HALT,1,4,-,-,-,-
0x77,"LD (HL),A",1,8,-,-,-,-
0x78,"LD A,B",1,4,-,-,-,-
0x79,"LD A,C",1,4,-,-,-,-
0x7a,"LD A,D",1,4,-,-,-,-
0x7b,"LD A,E",1,4,-,-,-,-
0x7c,"LD A,H",1,4,-,-,-,-
0x7d,"LD A,L",1,4,-,-,-,-
0x7e,"LD A,(HL)",1,8,-,-,-,-
0x7f,"LD A,A",1,4,-,-,-,-
0x80,"ADD A,B",1,4,Z,0,H,C
0x81,"ADD A,C",1,4,Z,0,H,C
0x82,"ADD A,D",1,4,Z,0,H,C
0x83,"ADD A,E",1,4,Z,0,H,C
0x84,"ADD A,H",1,4,Z,0,H,C
0x85,"ADD A,L",1,4,Z,0,H,C
0x86,"ADD A,(HL)",1,8,Z,0,H,C
0x87,"ADD A,A",1,4,Z,0,H,C
0x88,"ADC A,B",1,4,Z,0,H,C
0x89,"ADC A,C",1,4,Z,0,H,C
0x8a,"ADC A,D",1,4,Z,0,H,C
0x8b,"ADC A,E",1,4,Z,0,H,C
0x8c,"ADC A,H",1,4,Z,0,H,C
0x8d,"ADC A,L",1,4,Z,0,H,C
0x8e,"ADC A,(HL)",1,8,Z,0,H,C
0x8f,"ADC A,A",1,4,Z,0,H,C
0x90,SUB B,1,4,Z,1,H,C
0x91,SUB C,1,4,Z,1,H,C
0x92,SUB D,1,4,Z,1,H,C
0x93,SUB E,1,4,Z,1,H,C
0x94,SUB H,1,4,Z,1,H,C
0x95,SUB L,1,4,Z,1,H,C
0x96,SUB (HL),1,8,Z,1,H,C
0x97,SUB A,1,4,Z,1,H,C
0x98,"SBC A,B",1,4,Z,1,H,C
0x99,"SBC A,C",1,4,Z,1,H,C
0x9a,"SBC A,D",1,4,Z,1,H,C
0x9b,"SBC A,E",1,4,Z,1,H,C
0x9c,"SBC A,H",1,4,Z,1,H,C
0x9d,"SBC A,L",1,4,Z,1,H,C
0x9e,"SBC A,(HL)",1,8,Z,1,H,C
0x9f,"SBC A,A",1,4,Z,1,H,C
0xa0,AND B,1,4,Z,0,1,0
0xa1,AND C,1,4,Z,0,1,0
0xa2,AND D,1,4,Z,0,1,0
0xa3,AND E,1,4,Z,0,1,0
0xa4,AND H,1,4,Z,0,1,0
0xa5,AND L,1,4,Z,0,1,0
0xa6,AND (HL),1,8,Z,0,1,0
0xa7,AND A,1,4,Z,0,1,0
0xa8,XOR B,1,4,Z,0,0,0
0xa9,XOR C,1,4,Z,0,0,0
0xaa,XOR D,1,4,Z,0,0,0
0xab,XOR E,1,4,Z,0,0,0
0xac,XOR H,1,4,Z,0,0,0
0xad,XOR L,1,4,Z,0,0,0
0xae,XOR (HL),1,8,Z,0,0,0
0xaf,XOR A,1,4,Z,0,0,0
0xb0,OR B,1,4,Z,0,0,0
0xb1,OR C,1,4,Z,0,0,0
0xb2,OR D,1,4,Z,0,0,0
0xb3,OR E,1,4,Z,0,0,0
0xb4,OR H,1,4,Z,0,0,0
0xb5,OR L,1,4,Z,0,0,0
0xb6,OR (HL),1,8,Z,0,0,0
0xb7,OR A,1,4,Z,0,0,0
0xb8,CP B,1,4,Z,1,H,C
0xb9,CP C,1,4,Z,1,H,C
0xba,CP D,1,4,Z,1,H,C
0xbb,CP E,1,4,Z,1,H,C
0xbc,CP H,1,4,Z,1,H,C
0xbd,CP L,1,4,Z,1,H,C
0xbe,CP (HL),1,8,Z,1,H,C
0xbf,CP A,1,4,Z,1,H,C
0xc0,RET NZ,1,20/8,-,-,-,-
0xc1,POP BC,1,12,-,-,-,-
0xc2,"JP NZ,a16",3,16/12,-,-,-,-
0xc3,JP a16,3,16,-,-,-,-
0xc4,"CALL NZ,a16",3,24/12,-,-,-,-
0xc5,PUSH BC,1,16,-,-,-,-
0xc6,"ADD A,d8",2,8,Z,0,H,C
0xc7,RST 00H,1,16,-,-,-,-
0xc8,RET Z,1,20/8,-,-,-,-
0xc9,RET,1,16,-,-,-,-
0xca,"JP Z,a16",3,16/12,-,-,-,-
0xcb,PREFIX CB,1,4,-,-,-,-
0xcc,"CALL Z,a16",3,24/12,-,-,-,-
0xcd,CALL a16,3,24,-,-,-,-
0xce,"ADC A,d8",2,8,Z,0,H,C
0xcf,RST 08H,1,16,-,-,-,-
0xd0,RET NC,1,20/8,-,-,-,-
0xd1,POP DE,1,12,-,-,-,-
0xd2,"JP NC,a16",3,16/12,-,-,-,-
0xd3,,,,,,,
0xd4,"CALL NC,a16",3,24/12,-,-,-,-
0xd5,PUSH DE,1,16,-,-,-,-
0xd6,SUB d8,2,8,Z,1,H,C
0xd7,RST 10H,1,16,-,-,-,-
0xd8,RET C,1,20/8,-,-,-,-
0xd9,RETI,1,16,-,-,-,-
0xda,"JP C,a16",3,16/12,-,-,-,-
0xdb,,,,,,,
0xdc,"CALL C,a16",3,24/12,-,-,-,-
0xdd,,,,,,,
0xde,"SBC A,d8",2,8,Z,1,H,C
0xdf,RST 18H,1,16,-,-,-,-
0xe0,"LDH (a8),A",2,12,-,-,-,-
0xe1,POP HL,1,12,-,-,-,-
0xe2,"LD (C),A",2,8,-,-,-,-
0xe3,,,,,,,
0xe4,,,,,,,
0xe5,PUSH HL,1,16,-,-,-,-
0xe6,AND d8,2,8,Z,0,1,0
0xe7,RST 20H,1,16,-,-,-,-
0xe8,"ADD SP,r8",2,16,0,0,H,C
0xe9,JP (HL),1,4,-,-,-,-
0xea,"LD (a16),A",3,16,-,-,-,-
0xeb,,,,,,,
0xec,,,,,,,
0xed,,,,,,,
0xee,XOR d8,2,8,Z,0,0,0
0xef,RST 28H,1,16,-,-,-,-
0xf0,"LDH A,(a8)",2,12,-,-,-,-
0xf1,POP AF,1,12,Z,N,H,C
0xf2,"LD A,(C)",2,8,-,-,-,-
0xf3,DI,1,4,-,-,-,-
0xf4,,,,,,,
0xf5,PUSH AF,1,16,-,-,-,-
0xf6,OR d8,2,8,Z,0,0,0
0xf7,RST 30H,1,16,-,-,-,-
0xf8,"LD HL,SP+r8",2,12,0,0,H,C
0xf9,"LD SP,HL",1,8,-,-,-,-
0xfa,"LD A,(a16)",3,16,-,-,-,-
0xfb,EI,1,4,-,-,-,-
0xfc,,,,,,,
0xfd,,,,,,,
0xfe,CP d8,2,8,Z,1,H,C
0xff,RST 38H,1,16,-,-,-,-
0xcb00,RLC B,2,8,Z,0,0,C
0xcb01,RLC C,2,8,Z,0,0,C
0xcb02,RLC D,2,8,Z,0,0,C
0xcb03,RLC E,2,8,Z,0,0,C
0xcb04,RLC H,2,8,Z,0,0,C
0xcb05,RLC L,2,8,Z,0,0,C
0xcb06,RLC (HL),2,16,Z,0,0,C
0xcb07,RLC A,2,8,Z,0,0,C
0xcb08,RRC B,2,8,Z,0,0,C
0xcb09,RRC C,2,8,Z,0,0,C
0xcb0a,RRC D,2,8,Z,0,0,C
0xcb0b,RRC E,2,8,Z,0,0,C
0xcb0c,RRC H,2,8,Z,0,0,C
0xcb0d,RRC L,2,8,Z,0,0,C
0xcb0e,RRC (HL),2,16,Z,0,0,C
0xcb0f,RRC A,2,8,Z,0,0,C
0xcb10,RL B,2,8,Z,0,0,C
0xcb11,RL C,2,8,Z,0,0,C
0xcb12,RL D,2,8,Z,0,0,C
0xcb13,RL E,2,8,Z,0,0,C
0xcb14,RL H,2,8,Z,0,0,C
0xcb15,RL L,2,8,Z,0,0,C
0xcb16,RL (HL),2,16,Z,0,0,C
0xcb17,RL A,2,8,Z,0,0,C
0xcb18,RR B,2,8,Z,0,0,C
0xcb19,RR C,2,8,Z,0,0,C
0xcb1a,RR D,2,8,Z,0,0,C
0xcb1b,RR E,2,8,Z,0,0,C
0xcb1c,RR H,2,8,Z,0,0,C
0xcb1d,RR L,2,8,Z,0,0,C
0xcb1e,RR (HL),2,16,Z,0,0,C
0xcb1f,RR A,2,8,Z,0,0,C
0xcb20,SLA B,2,8,Z,0,0,C
0xcb21,SLA C,2,8,Z,0,0,C
0xcb22,SLA D,2,8,Z,0,0,C
0xcb23,SLA E,2,8,Z,0,0,C
0xcb24,SLA H,2,8,Z,0,0,C
0xcb25,SLA L,2,8,Z,0,0,C
0xcb26,SLA (HL),2,16,Z,0,0,C
0xcb27,SLA A,2,8,Z,0,0,C
0xcb28,SRA B,2,8,Z,0,0,0
0xcb29,SRA C,2,8,Z,0,0,0
0xcb2a,SRA D,2,8,Z,0,0,0
0xcb2b,SRA E,2,8,Z,0,0,0
0xcb2c,SRA H,2,8,Z,0,0,0
0xcb2d,SRA L,2,8,Z,0,0,0
0xcb2e,SRA (HL),2,16,Z,0,0,0
0xcb2f,SRA A,2,8,Z,0,0,0
0xcb30,SWAP B,2,8,Z,0,0,0
0xcb31,SWAP C,2,8,Z,0,0,0
0xcb32,SWAP D,2,8,Z,0,0,0
0xcb33,SWAP E,2,8,Z,0,0,0
0xcb34,SWAP H,2,8,Z,0,0,0
0xcb35,SWAP L,2,8,Z,0,0,0
0xcb36,SWAP (HL),2,16,Z,0,0,0
0xcb37,SWAP A,2,8,Z,0,0,0
0xcb38,SRL B,2,8,Z,0,0,C
0xcb39,SRL C,2,8,Z,0,0,C
0xcb3a,SRL D,2,8,Z,0,0,C
0xcb3b,SRL E,2,8,Z,0,0,C
0xcb3c,SRL H,2,8,Z,0,0,C
0xcb3d,SRL L,2,8,Z,0,0,C
0xcb3e,SRL (HL),2,16,Z,0,0,C
0xcb3f,SRL A,2,8,Z,0,0,C
0xcb40,"BIT 0,B",2,8,Z,0,1,-
0xcb41,"BIT 0,C",2,8,Z,0,1,-
0xcb42,"BIT 0,D",2,8,Z,0,1,-
0xcb43,"BIT 0,E",2,8,Z,0,1,-
0xcb44,"BIT 0,H",2,8,Z,0,1,-
0xcb45,"BIT 0,L",2,8,Z,0,1,-
0xcb46,"BIT 0,(HL)",2,16,Z,0,1,-
0xcb47,"BIT 0,A",2,8,Z,0,1,-
0xcb48,"BIT 1,B",2,8,Z,0,1,-
0xcb49,"BIT 1,C",2,8,Z,0,1,-
0xcb4a,"BIT 1,D",2,8,Z,0,1,-
0xcb4b,"BIT 1,E",2,8,Z,0,1,-
0xcb4c,"BIT 1,H",2,8,Z,0,1,-
0xcb4d,"BIT 1,L",2,8,Z,0,1,-
0xcb4e,"BIT 1,(HL)",2,16,Z,0,1,-
0xcb4f,"BIT 1,A",2,8,Z,0,1,-
0xcb50,"BIT 2,B",2,8,Z,0,1,-
0xcb51,"BIT 2,C",2,8,Z,0,1,-
0xcb52,"BIT 2,D",2,8,Z,0,1,-
0xcb53,"BIT 2,E",2,8,Z,0,1,-
0xcb54,"BIT 2,H",2,8,Z,0,1,-
0xcb55,"BIT 2,L",2,8,Z,0,1,-
0xcb56,"BIT 2,(HL)",2,16,Z,0,1,-
0xcb57,"BIT 2,A",2,8,Z,0,1,-
0xcb58,"BIT 3,B",2,8,Z,0,1,-
0xcb59,"BIT 3,C",2,8,Z,0,1,-
0xcb5a,"BIT 3,D",2,8,Z,0,1,-
0xcb5b,"BIT 3,E",2,8,Z,0,1,-
0xcb5c,"BIT 3,H",2,8,Z,0,1,-
0xcb5d,"BIT 3,L",2,8,Z,0,1,-
0xcb5e,"BIT 3,(HL)",2,16,Z,0,1,-
0xcb5f,"BIT 3,A",2,8,Z,0,1,-
0xcb60,"BIT 4,B",2,8,Z,0,1,-
0xcb61,"BIT 4,C",2,8,Z,0,1,-
0xcb62,"BIT 4,D",2,8,Z,0,1,-
0xcb63,"BIT 4,E",2,8,Z,0,1,-
0xcb64,"BIT 4,H",2,8,Z,0,1,-
0xcb65,"BIT 4,L",2,8,Z,0,1,-
0xcb66,"BIT 4,(HL)",2,16,Z,0,1,-
0xcb67,"BIT 4,A",2,8,Z,0,1,-
0xcb68,"BIT 5,B",2,8,Z,0,1,-
0xcb69,"BIT 5,C",2,8,Z,0,1,-
0xcb6a,"BIT 5,D",2,8,Z,0,1,-
0xcb6b,"BIT 5,E",2,8,Z,0,1,-
0xcb6c,"BIT 5,H",2,8,Z,0,1,-
0xcb6d,"BIT 5,L",2,8,Z,0,1,-
0xcb6e,"BIT 5,(HL)",2,16,Z,0,1,-
0xcb6f,"BIT 5,A",2,8,Z,0,1,-
0xcb70,"BIT 6,B",2,8,Z,0,1,-
0xcb71,"BIT 6,C",2,8,Z,0,1,-
0xcb72,"BIT 6,D",2,8,Z,0,1,-
0xcb73,"BIT 6,E",2,8,Z,0,1,-
0xcb74,"BIT 6,H",2,8,Z,0,1,-
0xcb75,"BIT 6,L",2,8,Z,0,1,-
0xcb76,"BIT 6,(HL)",2,16,Z,0,1,-
0xcb77,"BIT 6,A",2,8,Z,0,1,-
0xcb78,"BIT 7,B",2,8,Z,0,1,-
0xcb79,"BIT 7,C",2,8,Z,0,1,-
0xcb7a,"BIT 7,D",2,8,Z,0,1,-
0xcb7b,"BIT 7,E",2,8,Z,0,1,-
0xcb7c,"BIT 7,H",2,8,Z,0,1,-
0xcb7d,"BIT 7,L",2,8,Z,0,1,-
0xcb7e,"BIT 7,(HL)",2,16,Z,0,1,-
0xcb7f,"BIT 7,A",2,8,Z,0,1,-
0xcb80,"RES 0,B",2,8,-,-,-,-
0xcb81,"RES 0,C",2,8,-,-,-,-
0xcb82,"RES 0,D",2,8,-,-,-,-
0xcb83,"RES 0,E",2,8,-,-,-,-
0xcb84,"RES 0,H",2,8,-,-,-,-
0xcb85,"RES 0,L",2,8,-,-,-,-
0xcb86,"RES 0,(HL)",2,16,-,-,-,-
0xcb87,"RES 0,A",2,8,-,-,-,-
0xcb88,"RES 1,B",2,8,-,-,-,-
0xcb89,"RES 1,C",2,8,-,-,-,-
0xcb8a,"RES 1,D",2,8,-,-,-,-
0xcb8b,"RES 1,E",2,8,-,-,-,-
0xcb8c,"RES 1,H",2,8,-,-,-,-
0xcb8d,"RES 1,L",2,8,-,-,-,-
0xcb8e,"RES 1,(HL)",2,16,-,-,-,-
0xcb8f,"RES 1,A",2,8,-,-,-,-
0xcb90,"RES 2,B",2,8,-,-,-,-
0xcb91,"RES 2,C",2,8,-,-,-,-
0xcb92,"RES 2,D",2,8,-,-,-,-
0xcb93,"RES 2,E",2,8,-,-,-,-
0xcb94,"RES 2,H",2,8,-,-,-,-
0xcb95,"RES 2,L",2,8,-,-,-,-
0xcb96,"RES 2,(HL)",2,16,-,-,-,-
0xcb97,"RES 2,A",2,8,-,-,-,-
0xcb98,"RES 3,B",2,8,-,-,-,-
0xcb99,"RES 3,C",2,8,-,-,-,-
0xcb9a,"RES 3,D",2,8,-,-,-,-
0xcb9b,"RES 3,E",2,8,-,-,-,-
0xcb9c,"RES 3,H",2,8,-,-,-,-
0xcb9d,"RES 3,L",2,8,-,-,-,-
0xcb9e,"RES 3,(HL)",2,16,-,-,-,-
0xcb9f,"RES 3,A",2,8,-,-,-,-
0xcba0,"RES 4,B",2,8,-,-,-,-
0xcba1,"RES 4,C",2,8,-,-,-,-
0xcba2,"RES 4,D",2,8,-,-,-,-
0xcba3,"RES 4,E",2,8,-,-,-,-
0xcba4,"RES 4,H",2,8,-,-,-,-
0xcba5,"RES 4,L",2,8,-,-,-,-
0xcba6,"RES 4,(HL)",2,16,-,-,-,-
0xcba7,"RES 4,A",2,8,-,-,-,-
0xcba8,"RES 5,B",2,8,-,-,-,-
0xcba9,"RES 5,C",2,8,-,-,-,-
0xcbaa,"RES 5,D",2,8,-,-,-,-
0xcbab,"RES 5,E",2,8,-,-,-,-
0xcbac,"RES 5,H",2,8,-,-,-,-
0xcbad,"RES 5,L",2,8,-,-,-,-
0xcbae,"RES 5,(HL)",2,16,-,-,-,-
0xcbaf,"RES 5,A",2,8,-,-,-,-
0xcbb0,"RES 6,B",2,8,-,-,-,-
0xcbb1,"RES 6,C",2,8,-,-,-,-
0xcbb2,"RES 6,D",2,8,-,-,-,-
0xcbb3,"RES 6,E",2,8,-,-,-,-
0xcbb4,"RES 6,H",2,8,-,-,-,-
0xcbb5,"RES 6,L",2,8,-,-,-,-
0xcbb6,"RES 6,(HL)",2,16,-,-,-,-
0xcbb7,"RES 6,A",2,8,-,-,-,-
0xcbb8,"RES 7,B",2,8,-,-,-,-
0xcbb9,"RES 7,C",2,8,-,-,-,-
0xcbba,"RES 7,D",2,8,-,-,-,-
0xcbbb,"RES 7,E",2,8,-,-,-,-
0xcbbc,"RES 7,H",2,8,-,-,-,-
0xcbbd,"RES 7,L",2,8,-,-,-,-
0xcbbe,"RES 7,(HL)",2,16,-,-,-,-
0xcbbf,"RES 7,A",2,8,-,-,-,-
0xcbc0,"SET 0,B",2,8,-,-,-,-
0xcbc1,"SET 0,C",2,8,-,-,-,-
0xcbc2,"SET 0,D",2,8,-,-,-,-
0xcbc3,"SET 0,E",2,8,-,-,-,-
0xcbc4,"SET 0,H",2,8,-,-,-,-
0xcbc5,"SET 0,L",2,8,-,-,-,-
0xcbc6,"SET 0,(HL)",2,16,-,-,-,-
0xcbc7,"SET 0,A",2,8,-,-,-,-
0xcbc8,"SET 1,B",2,8,-,-,-,-
0xcbc9,"SET 1,C",2,8,-,-,-,-
0xcbca,"SET 1,D",2,8,-,-,-,-
0xcbcb,"SET 1,E",2,8,-,-,-,-
0xcbcc,"SET 1,H",2,8,-,-,-,-
0xcbcd,"SET 1,L",2,8,-,-,-,-
0xcbce,"SET 1,(HL)",2,16,-,-,-,-
0xcbcf,"SET 1,A",2,8,-,-,-,-
0xcbd0,"SET 2,B",2,8,-,-,-,-
0xcbd1,"SET 2,C",2,8,-,-,-,-
0xcbd2,"SET 2,D",2,8,-,-,-,-
0xcbd3,"SET 2,E",2,8,-,-,-,-
0xcbd4,"SET 2,H",2,8,-,-,-,-
0xcbd5,"SET 2,L",2,8,-,-,-,-
0xcbd6,"SET 2,(HL)",2,16,-,-,-,-
0xcbd7,"SET 2,A",2,8,-,-,-,-
0xcbd8,"SET 3,B",2,8,-,-,-,-
0xcbd9,"SET 3,C",2,8,-,-,-,-
0xcbda,"SET 3,D",2,8,-,-,-,-
0xcbdb,"SET 3,E",2,8,-,-,-,-
0xcbdc,"SET 3,H",2,8,-,-,-,-
0xcbdd,"SET 3,L",2,8,-,-,-,-
0xcbde,"SET 3,(HL)",2,16,-,-,-,-
0xcbdf,"SET 3,A",2,8,-,-,-,-
0xcbe0,"SET 4,B",2,8,-,-,-,-
0xcbe1,"SET 4,C",2,8,-,-,-,-
0xcbe2,"SET 4,D",2,8,-,-,-,-
0xcbe3,"SET 4,E",2,8,-,-,-,-
0xcbe4,"SET 4,H",2,8,-,-,-,-
0xcbe5,"SET 4,L",2,8,-,-,-,-
0xcbe6,"SET 4,(HL)",2,16,-,-,-,-
0xcbe7,"SET 4,A",2,8,-,-,-,-
0xcbe8,"SET 5,B",2,8,-,-,-,-
0xcbe9,"SET 5,C",2,8,-,-,-,-
0xcbea,"SET 5,D",2,8,-,-,-,-
0xcbeb,"SET 5,E",2,8,-,-,-,-
0xcbec,"SET 5,H",2,8,-,-,-,-
0xcbed,"SET 5,L",2,8,-,-,-,-
0xcbee,"SET 5,(HL)",2,16,-,-,-,-
0xcbef,"SET 5,A",2,8,-,-,-,-
0xcbf0,"SET 6,B",2,8,-,-,-,-
0xcbf1,"SET 6,C",2,8,-,-,-,-
0xcbf2,"SET 6,D",2,8,-,-,-,-
0xcbf3,"SET 6,E",2,8,-,-,-,-
0xcbf4,"SET 6,H",2,8,-,-,-,-
0xcbf5,"SET 6,L",2,8,-,-,-,-
0xcbf6,"SET 6,(HL)",2,16,-,-,-,-
0xcbf7,"SET 6,A",2,8,-,-,-,-
0xcbf8,"SET 7,B",2,8,-,-,-,-
0xcbf9,"SET 7,C",2,8,-,-,-,-
0xcbfa,"SET 7,D",2,8,-,-,-,-
0xcbfb,"SET 7,E",2,8,-,-,-,-
0xcbfc,"SET 7,H",2,8,-,-,-,-
0xcbfd,"SET 7,L",2,8,-,-,-,-
0xcbfe,"SET 7,(HL)",2,16,-,-,-,-
0xcbff,"SET 7,A",2,8,-,-,-,-
